TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,주소
영종,31,영종,영종,R,37.495541,126.474485,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
군산,32,군산,군산,R,35.983541,126.798146,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
보령,33,보령,보령,R,36.393387,126.488145,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
하남,34,하남,하남,R,35.2,126.798,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
부곡,35,부곡,부곡,R,36.961648,126.778785,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
순천,36,순천,순천,R,34.963728,127.547412,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
목포,37,목포,목포,R,34.842483,126.422358,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
포항,38,포항,포항,R,36.004167,129.3117,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
동김천,39,동김천,동김천,R,36.13288,128.141945,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
금호,40,금호,금호,R,35.943688,128.905566,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
원주,41,원주,원주,R,37.374333,127.893855,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,11
영월,42,영월,영월,R,37.162095,128.475555,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
사천,43,사천,사천,R,35.08683,128.132566,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
장림,44,장림,장림,R,35.07869,128.955078,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
웅상,45,웅상,웅상,R,35.415116,129.157816,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
평택기지,46,평택기지,평택기지,R,37.1,126.7922,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
인천기지,47,인천기지,인천기지,R,37.3535,126.6005,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
통영기지,48,통영기지,통영기지,R,34.9502,128.4146,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
창원,49,창원,창원,R,35.24,128.63,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
남동,50,남동,남동,R,37.39,126.7,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
용강,51,용강,용강,R,35.86,129.22,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
고척,52,고척,고척,R,37.49,126.86,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
의정부,53,의정부,의정부,R,37.76,127.04,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
청주,54,청주,청주,R,36.65,127.45,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
오산,55,오산,오산,R,37.12,127.06,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
서산,56,서산,서산,R,36.82,126.49,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
장등,57,장등,장등,R,35.2,126.93,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
관음,58,관음,관음,R,35.93,128.53,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
장성,59,장성,장성,R,35.33,126.77,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
고성,60,고성,고성,R,34.96,128.36,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
정읍,61,정읍,정읍,R,35.6,126.84,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
