title,typeid,name,description,icon_color,long,lat,url,thumb_url,주소,image_url,fctyCd,gvmtCd
거제시청,22,거제시청,거제시청,R,128.433,34.854,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경남 거제시계룡로125,http://10.32.28.204:8001/img/common/ico_map01.png,GJ,GN
과천시청,23,과천시청,과천시청,R,126.98,37.44,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 과천시중앙동,http://10.32.28.204:8001/img/common/ico_map01.png,GC,GK
군포시청,24,군포시청,군포시청,R,126.935175,37.361662,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 군포시금정동844,http://10.32.28.204:8001/img/common/ico_map01.png,GU,GK
안성시청,25,안성시청,안성시청,R,127.279817,37.008025,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 안성시봉산동 705-19,http://10.32.28.204:8001/img/common/ico_map01.png,AS,GK
관악구청,26,관악구청,관악구청,R,126.9508,37.4787,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,서울특별시 관악구봉천동1570-1,http://10.32.28.204:8001/img/common/ico_map01.png,GW,SL
가평군청,27,가평군청,가평군청,R,127.5095,37.8312,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 가평군가평읍읍내리513,http://10.32.28.204:8001/img/common/ico_map01.png,GA,GK
양천군청 (존재하지 않음),28,양천군청 (존재하지 않음),양천군청 (존재하지 않음),R,126.8663,37.5168,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,인제읍인제로197번길8,http://10.32.28.204:8001/img/common/ico_map01.png,YC,SL
과천청사,29,과천청사,과천청사,R,126.98,37.42,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 과천시중앙동,http://10.32.28.204:8001/img/common/ico_map01.png,GC,GR
하남시청,30,하남시청,하남시청,R,127.2149,37.5393,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 하남시신장동 520,http://10.32.28.204:8001/img/common/ico_map01.png,HN,GK
동두천시청,31,동두천시청,동두천시청,R,127.06,37.9,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 동두천시 생연동 457,http://10.32.28.204:8001/img/common/ico_map01.png,DC,GK
연천군청,32,연천군청,연천군청,R,127.074973,38.096377,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 연천군연천읍연천로220,http://10.32.28.204:8001/img/common/ico_map01.png,YC,GK
전남대여수캠퍼스,33,전남대여수캠퍼스,전남대여수캠퍼스,R,127.69,34.77,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,전남 여수시전남대여수캠퍼스학생로50,http://10.32.28.204:8001/img/common/ico_map01.png,YS,AC
