TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,imageUrl,주소,fctyCd,gvmtCd
행주대교,121,행주대교,행주대교,R,126.8098,37.5979,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,서울특별시 강서구방화동행주대교,HJ,SL
올림픽대교,122,올림픽대교,올림픽대교,R,127.1038,37.5339,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,서울특별시 광진구구의동올림픽대교,OP,SL
인천소방안전본부,123,인천소방안전본부,인천소방안전본부,R,126.669,37.4481,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,인천광역시 남구인하로190,IF,IC
이천시청,124,이천시청,이천시청,R,127.435,37.2724,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 이천시중리동 490,IC,GK
금천구청,125,금천구청,금천구청,R,126.8955,37.457,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,서울특별시 금천구시흥동 1020,GC,SL
당진화력발전소,126,당진화력발전소,당진화력발전소,R,126.513,37.053,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,충남 당진시974,DF,EW
분당복합화력,127,분당복합화력,분당복합화력,R,127.1486,37.3641,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,경기도 성남시분당구 분당동 186,BC,EN
부산복합화력발전소,128,부산복합화력발전소,부산복합화력발전소,R,129.0003,35.0855,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,부산광역시 사하구감천1동,PC,NP
영흥화력발전소,129,영흥화력발전소,영흥화력발전소,R,126.4352,37.2372,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,인천광역시 옹진군영흥면 외리 산368,YF,EN
삼천포화력,130,삼천포화력,삼천포화력,R,128.1094,34.9122,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,경남 사천시하이면덕호리952,SC,EN
호남화력발전소,131,호남화력발전소,호남화력발전소,R,127.7343,34.8532,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,전남 여수시월내동280,HN,EW
여수화력발전소,132,여수화력발전소,여수화력발전소,R,127.6914,34.8394,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,전남 여수시중흥동1300,YS,EN
보령화력발전소,133,보령화력발전소,보령화력발전소,R,126.49,36.4,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,충남 보령시산212,BF,JE
